Beddington North	Howard James Bowles	Conservative Party Candidate	1174
Beddington North	Jenny Susan Slark	Liberal Democrat	1318	Elected
Beddington North	John Andrew Stanley Weir	The Labour Party Candidate	130
Beddington North	John Keys	Liberal Democrat	1377	Elected
Beddington North	John William Edward Leach	Liberal Democrat	1350	Elected
Beddington North	Leslie Price	United Kingdom Independence Party	268
Beddington North	Malcolm Brown	Conservative Party Candidate	1153
Beddington North	Nicholas Carter	The Labour Party Candidate	288
Beddington North	Paul Anthony Skeet	Conservative Party Candidate	1048
Beddington North	Susan Daisy Theobald	The Labour Party Candidate	256
Beddington South	Beresford Henry Caramba-Coker	The Labour Party Candidate	240
Beddington South	Marion Helen Williams	Conservative Party Candidate	1437	Elected
Beddington South	Muhammad Izhar Sadiq	Liberal Democrat	1213
Beddington South	Peter Charles Baxter-Derrington	Liberal Democrat	1268
Beddington South	Peter Wallis	Conservative Party Candidate	1492	Elected
Beddington South	Renuka Marley	The Labour Party Candidate	200
Beddington South	Richard Scott Aitken	The Labour Party Candidate	238
Beddington South	Sally Jane Brearley	Liberal Democrat	1292
Beddington South	Terence John Faulds	Conservative Party Candidate	1401	Elected
Belmont	Brian Douglas Dougherty	Green Party	322
Belmont	David John Pickles	Conservative Party Candidate	2115	Elected
Belmont	Eric Pridham	Liberal Democrat	896
Belmont	Gale Anne Laura Blears	The Labour Party Candidate	211
Belmont	Geraldine Theresa Kerr	The Labour Party Candidate	184
Belmont	John William Brown	The Labour Party Candidate	174
Belmont	Pamela Doreen Picknett	Conservative Party Candidate	1933	Elected
Belmont	Peter Hugh Geiringer	Conservative Party Candidate	1987	Elected
Belmont	Russell Peter Neale	Liberal Democrat	1095
Belmont	Thomas John Osborne	Liberal Democrat	959
Carshalton Central	Alan James Salter	Liberal Democrat	1365
Carshalton Central	Anthony Robert Thorpe	The Labour Party Candidate	203
Carshalton Central	Ashley Keith Dickenson	Christian Peoples Alliance	116
Carshalton Central	David George Davis	The Labour Party Candidate	216
Carshalton Central	David Towler	The Labour Party Candidate	207
Carshalton Central	Eric Howell	Conservative Party Candidate	1387	Elected
Carshalton Central	Hamish Jack Pollock	Liberal Democrat	1578	Elected
