Beddington North	Howard James Bowles	Conservative Party	1174	
Beddington North	Jenny Susan Slark	Liberal Democrats	1318	Elected
Beddington North	John Andrew Stanley Weir	Labour Party	130	
Beddington North	John Keys	Liberal Democrats	1377	Elected
Beddington North	John William Edward Leach	Liberal Democrats	1350	Elected
Beddington North	Leslie Price	UK Independence Party	268	
Beddington North	Malcolm Brown	Conservative Party	1153	
Beddington North	Nicholas Carter	Labour Party	288	
Beddington North	Paul Anthony Skeet	Conservative Party	1048	
Beddington North	Susan Daisy Theobald	Labour Party	256	
Beddington South	Beresford Henry Caramba-Coker	Labour Party	240	
Beddington South	Marion Helen Williams	Conservative Party	1437	Elected
Beddington South	Muhammad Izhar Sadiq	Liberal Democrats	1213	
Beddington South	Peter Charles Baxter-Derrington	Liberal Democrats	1268	
Beddington South	Peter Wallis	Conservative Party	1492	Elected
Beddington South	Renuka Marley	Labour Party	200	
Beddington South	Richard Scott Aitken	Labour Party	238	
Beddington South	Sally Jane Brearley	Liberal Democrats	1292	
Beddington South	Terence John Faulds	Conservative Party	1401	Elected
Belmont	Brian Douglas Dougherty	Green Party	322	
Belmont	David John Pickles	Conservative Party	2115	Elected
Belmont	Eric Pridham	Liberal Democrats	896	
Belmont	Gale Anne Laura Blears	Labour Party	211	
Belmont	Geraldine Theresa Kerr	Labour Party	184	
Belmont	John William Brown	Labour Party	174	
Belmont	Pamela Doreen Picknett	Conservative Party	1933	Elected
Belmont	Peter Hugh Geiringer	Conservative Party	1987	Elected
Belmont	Russell Peter Neale	Liberal Democrats	1095	
Belmont	Thomas John Osborne	Liberal Democrats	959	
Carshalton Central	Alan James Salter	Liberal Democrats	1365	
Carshalton Central	Anthony Robert Thorpe	Labour Party	203	
Carshalton Central	Ashley Keith Dickenson	Christian Peoples Alliance	116	
Carshalton Central	David George Davis	Labour Party	216	
Carshalton Central	David Towler	Labour Party	207	
Carshalton Central	Eric Howell	Conservative Party	1387	Elected
Carshalton Central	Hamish Jack Pollock	Liberal Democrats	1578	Elected
Carshalton Central	Jill Leonie Whitehead	Liberal Democrats	1336	
Carshalton Central	Miranda Rose Suheimat	Green Party	238	
Carshalton Central	Paul Stuart Scully	Conservative Party	1473	Elected
Carshalton Central	Peter John Richard Mead	Conservative Party	1375	
Carshalton Central	Robert William Steel	Green Party	356	
Carshalton South and Clockhouse	Claire Shearer	Labour Party	222	
Carshalton South and Clockhouse	Derek Channon Yeo	Liberal Democrats	1653	
Carshalton South and Clockhouse	John Kennedy	Conservative Party	1743	Elected
Carshalton South and Clockhouse	Lal Hussain	Liberal Democrats	1599	
Carshalton South and Clockhouse	Marilynne Bridget Burbage	Labour Party	222	
Carshalton South and Clockhouse	Moira Jane Butt	Conservative Party	1753	Elected
Carshalton South and Clockhouse	Paul Anthony Wingrove	Liberal Democrats	1677	
Carshalton South and Clockhouse	Peter John Turner	Labour Party	194	
Carshalton South and Clockhouse	Timothy Edward Crowley	Conservative Party	1822	Elected
Cheam	Alexandra Aduwah Ankrah	Liberal Democrats	1468	
Cheam	David Jarman	Labour Party	107	
Cheam	Eleanor Dorothy Pinfold	Conservative Party	2251	Elected
Cheam	Graham George Whitham	Conservative Party	2170	Elected
Cheam	Laura Kate Herridge	Labour Party	94	
Cheam	Lyndon Edwards	Labour Party	99	
Cheam	Misdaq Syed Husain Zaidi	Conservative Party	2072	Elected
Cheam	Nicholas Kounoupias	Liberal Democrats	1389	
Cheam	Robert Charles Cummins	Liberal Democrats	1535	
Nonsuch	Adrian John Noble	Conservative Party	1750	
Nonsuch	Christopher Paul Dunlop	Conservative Party	1816	Elected
Nonsuch	Cyril Ernest Salmon	Labour Party	177	
Nonsuch	David Norman Senior	Conservative Party	1753	
Nonsuch	Kathie Elizabeth Clark	Labour Party	227	
Nonsuch	Kirsty Anne Jerome	Liberal Democrats	1779	Elected
Nonsuch	Marcus Steven Papadopoulos	Labour Party	170	
Nonsuch	Roger Douglas Clayton Roberts	Liberal Democrats	1760	Elected
Nonsuch	Wendy Grace Laurie Mathys	Liberal Democrats	1702	
St Helier	Andrew Charles Theobald	Labour Party	674	
St Helier	Charles John Mansell	Labour Party	674	
St Helier	Charlotte Lewis	British National Party	588	
St Helier	David George Callaghan	Liberal Democrats	1161	Elected
St Helier	David George Theobald	Liberal Democrats	1147	Elected
St Helier	Eric Sidney Pillinger	Conservative Party	365	
St Helier	Gillian Christine Walker	Conservative Party	396	
St Helier	Joseph Patrick Magee	Labour Party	662	
St Helier	Sheila Margaret Andrews	Liberal Democrats	1257	Elected
St Helier	Thomas Henry Wortley	Conservative Party	362	
Stonecot	Abigail Mary Elizabeth Lock	Liberal Democrats	1446	Elected
Stonecot	Anthony Brett Young	Liberal Democrats	1590	Elected
Stonecot	Brendan Hudson	Liberal Democrats	1425	Elected
Stonecot	Gary James	Conservative Party	1370	
Stonecot	Gwendoline Rosa Fuller	Labour Party	230	
Stonecot	Raymond Walter Hilldrup	Conservative Party	1413	
Stonecot	Richard Frederick Dawson	Labour Party	237	
Stonecot	Sharon Jeanette James	Conservative Party	1350	
Stonecot	William Arthur Lang	Labour Party	199	
Sutton Central	Christine Mary Hicks	Conservative Party	648	
Sutton Central	Elizabeth Jane Fison	Conservative Party	681	
