Ward-Code,Borough,Ward-Name,Elected,Candidate,Party,Vote
00ABFX,Barking & Dagenham,Abbey,*,"Alexander, Jeannette L.",LAB,1376
00ABFX,Barking & Dagenham,Abbey,*,"Fani, Mohammed A.R.",LAB,1275
00ABFX,Barking & Dagenham,Abbey,*,"Bramley, Graham J.",LAB,1241
00ABFX,Barking & Dagenham,Abbey,,"Rahman, Foyzur   ",CON,765
00ABFY,Barking & Dagenham,Alibon,*,"Bailey, Robert W.",BNP,1329
00ABFY,Barking & Dagenham,Alibon,*,"Doncaster, Claire L.",BNP,1323
00ABFY,Barking & Dagenham,Alibon,*,"Davis, John   ",LAB,1071
00ABFY,Barking & Dagenham,Alibon,,"Wade, Terence G.W.",LAB,1018
00ABFY,Barking & Dagenham,Alibon,,"Miles, David S.",LAB,957
00ABFY,Barking & Dagenham,Alibon,,"Whitson, Margaret   ",UKIP,394
00ABFY,Barking & Dagenham,Alibon,,"East, Lucy C.",CON,393
00ABFZ,Barking & Dagenham,Becontree,*,"Agrawal, Alok K.",LAB,1268
00ABFZ,Barking & Dagenham,Becontree,*,"Carpenter, Evelyn   ",LAB,1240
00ABFZ,Barking & Dagenham,Becontree,*,"Obasohan, Emmanuel O.",LAB,1058
00ABFZ,Barking & Dagenham,Becontree,,"Jordan, Daphne K.",UKIP,749
00ABFZ,Barking & Dagenham,Becontree,,"Barker, Claire L.",CON,653
00ABFZ,Barking & Dagenham,Becontree,,"Barker, Malcolm B.",CON,607
00ABGA,Barking & Dagenham,Chadwell Heath,*,"Baillie, Sarah J.",LAB,1101
00ABGA,Barking & Dagenham,Chadwell Heath,*,"Smith, Nadine E.",LAB,999
00ABGA,Barking & Dagenham,Chadwell Heath,*,"Carroll, Shaun   ",LAB,987
00ABGA,Barking & Dagenham,Chadwell Heath,,"Justice, Terence J.",CON,873
00ABGA,Barking & Dagenham,Chadwell Heath,,"Justice, Mary B.",CON,734
00ABGA,Barking & Dagenham,Chadwell Heath,,"Chytry, Sharron   ",CON,583
00ABGA,Barking & Dagenham,Chadwell Heath,,"Curtis, Ronald J.",IND,560
00ABGA,Barking & Dagenham,Chadwell Heath,,"Tucker, Doreen G.M.",UKIP,385
00ABGA,Barking & Dagenham,Chadwell Heath,,"Long, Ronald W.",UKIP,376
00ABGB,Barking & Dagenham,Eastbrook,*,"McCarthy, Michael A.",LAB,1151
00ABGB,Barking & Dagenham,Eastbrook,*,"Connelly, Neil S.",CON,1139
00ABGB,Barking & Dagenham,Eastbrook,*,"Little, Robert C.",LAB,1126
00ABGB,Barking & Dagenham,Eastbrook,,"Connelly, Susan M.",CON,1101
00ABGB,Barking & Dagenham,Eastbrook,,"Smith, Susan A.",CON,1067
00ABGB,Barking & Dagenham,Eastbrook,,"Mullane, Margaret   ",LAB,1036
00ABGC,Barking & Dagenham,Eastbury,*,"McDermott, James E.",LAB,965
00ABGC,Barking & Dagenham,Eastbury,*,"Northover, Patricia A.",LAB,944
00ABGC,Barking & Dagenham,Eastbury,*,"Rai, Hardial S.",LAB,852
00ABGC,Barking & Dagenham,Eastbury,,"Manley, Patrick J.",UKIP,546
00ABGC,Barking & Dagenham,Eastbury,,"Challis, Dianne P.",LD,523
00ABGC,Barking & Dagenham,Eastbury,,"McIlroy, Ashley   ",UKIP,455
00ABGC,Barking & Dagenham,Eastbury,,"Edwards, Ryan   ",LD,451
00ABGC,Barking & Dagenham,Eastbury,,"McIlroy, Dorien   ",UKIP,425
00ABGC,Barking & Dagenham,Eastbury,,"Sheridan, Geoff D.",GRE,260
00ABGC,Barking & Dagenham,Eastbury,,"Stepton, Claire D.",LD,131
00ABGC,Barking & Dagenham,Eastbury,,"Steed, Jeffrey R.",BNP,102
00ABGD,Barking & Dagenham,Gascoigne,*,"Flint, Kathleen J.",LAB,1579
00ABGD,Barking & Dagenham,Gascoigne,*,"McKenzie, Milton E.",LAB,1346
00ABGD,Barking & Dagenham,Gascoigne,*,"Rush, Valerie M.",LAB,1278
00ABGD,Barking & Dagenham,Gascoigne,,"Grey, Alison M.S.",CON,586
00ABGD,Barking & Dagenham,Gascoigne,,"Yildirim, Hidir   ",GRE,522
00ABGE,Barking & Dagenham,Goresbrook,*,"Barnbrook, Richard J.",BNP,1434
00ABGE,Barking & Dagenham,Goresbrook,*,"Lansdown, Tracy A.",BNP,1357
00ABGE,Barking & Dagenham,Goresbrook,*,"Northover, Warren W.",LAB,1204
00ABGE,Barking & Dagenham,Goresbrook,,"Fergus, Edna M.",LAB,1162
00ABGE,Barking & Dagenham,Goresbrook,,"Porter, Jeffrey W.",LAB,1135
00ABGE,Barking & Dagenham,Goresbrook,,"Naylor, George D.",CON,373
00ABGE,Barking & Dagenham,Goresbrook,,"Jones, Terence J.",UKIP,367
00ABGF,Barking & Dagenham,Heath,*,"Fairbrass, Charles J.",LAB,1293
00ABGF,Barking & Dagenham,Heath,*,"Reason, Linda A.",LAB,1282
00ABGF,Barking & Dagenham,Heath,*,"Kallar, Sidney   ",LAB,1229
00ABGF,Barking & Dagenham,Heath,,"Smith, Christine F.G.",UKIP,790
00ABGF,Barking & Dagenham,Heath,,"East, Harry D.",CON,579
00ABGF,Barking & Dagenham,Heath,,"White, Margaret R.",CON,535
00ABGG,Barking & Dagenham,Longbridge,*,"Gill, Sukhninder S.",LAB,1272
00ABGG,Barking & Dagenham,Longbridge,*,"Gill, Nirmal S.S.",LAB,1253
00ABGG,Barking & Dagenham,Longbridge,*,"Vincent, Gerald M.",LAB,1233
00ABGG,Barking & Dagenham,Longbridge,,"Cook, Brian   ",CON,1227
00ABGG,Barking & Dagenham,Longbridge,,"Cook, Margaret A.",CON,1111
00ABGG,Barking & Dagenham,Longbridge,,"Richards, Anthony J.",IND,1072
00ABGG,Barking & Dagenham,Longbridge,,"Chytry, Anthony B.",CON,910
00ABGG,Barking & Dagenham,Longbridge,,"Burchill, James J.",UKIP,701
00ABGG,Barking & Dagenham,Longbridge,,"Cleeland, Laurence N.",GRE,588
00ABGH,Barking & Dagenham,Mayesbrook,*,"Buckley, Robert J.",BNP,1145
00ABGH,Barking & Dagenham,Mayesbrook,*,"Knight, Christine A.",BNP,1070
00ABGH,Barking & Dagenham,Mayesbrook,*,"Hunt, Dorothy M.",LAB,845
00ABGH,Barking & Dagenham,Mayesbrook,,"Patten, Vivian P.A.",UKIP,741
00ABGH,Barking & Dagenham,Mayesbrook,,"Smith, Kerry J.",UKIP,733
00ABGH,Barking & Dagenham,Mayesbrook,,"Bolton, John T.",UKIP,697
00ABGH,Barking & Dagenham,Mayesbrook,,"Twomey, Dominic A.",LAB,695
00ABGH,Barking & Dagenham,Mayesbrook,,"Choudhury, Ahmed Z.H.",LAB,679
00ABGH,Barking & Dagenham,Mayesbrook,,"Newton, Christopher   ",CON,249
00ABGJ,Barking & Dagenham,Parsloes,*,"Doncaster, Ronald W.",BNP,1120
00ABGJ,Barking & Dagenham,Parsloes,*,"Tuffs, Darren A.",BNP,1052
00ABGJ,Barking & Dagenham,Parsloes,*,"Collins, Herbert J.",LAB,1050
00ABGJ,Barking & Dagenham,Parsloes,,"Jones, Frederick C.",LAB,1026
00ABGJ,Barking & Dagenham,Parsloes,,"Osborn, Catherine T.",LAB,948
00ABGJ,Barking & Dagenham,Parsloes,,"Compobassi, Peter   ",UKIP,423
00ABGK,Barking & Dagenham,River,*,"Smith, Liam A.",LAB,1529
00ABGK,Barking & Dagenham,River,*,"Twomey, Patricia A.",LAB,1406
00ABGK,Barking & Dagenham,River,*,"Jamu, Inder S. ",LAB,1304
00ABGK,Barking & Dagenham,River,,"Parsons, Betty A.",UKIP,858
00ABGK,Barking & Dagenham,River,,"White, Herbert G.",CON,617
00ABGL,Barking & Dagenham,Thames,*,"Barns, William F.L.",LAB,1264
00ABGL,Barking & Dagenham,Thames,*,"Rawlinson, Joan E.",LAB,1157
00ABGL,Barking & Dagenham,Thames,*,"Poulton, Barry   ",LAB,1127
00ABGL,Barking & Dagenham,Thames,,"Dias-Broughton, John W.",IND,721
00ABGL,Barking & Dagenham,Thames,,"Grey, Thomas J.P.",CON,470
00ABGM,Barking & Dagenham,Valence,*,"Doncaster, Sandra A.",BNP,1219
00ABGM,Barking & Dagenham,Valence,*,"Rustem, Lawrence   ",BNP,1203
00ABGM,Barking & Dagenham,Valence,*,"Hemmett, Donald G.",LAB,1071
00ABGM,Barking & Dagenham,Valence,,"O`Brien, Dennis   ",LAB,1005
00ABGM,Barking & Dagenham,Valence,,"Osborn, Bryan M.",LAB,915
00ABGM,Barking & Dagenham,Valence,,"Lambart, Angela   ",UKIP,372
00ABGM,Barking & Dagenham,Valence,,"Sentivani, Maria   ",GRE,360
00ABGN,Barking & Dagenham,Village,*,"Waker, Philip T.",LAB,1276
00ABGN,Barking & Dagenham,Village,*,"Waker, Lee R.",LAB,1269
00ABGN,Barking & Dagenham,Village,*,"Jarvis, Jamie K.",BNP,1227
00ABGN,Barking & Dagenham,Village,,"Dale, William C. ",LAB,1209
00ABGN,Barking & Dagenham,Village,,"Webb, James   ",BNP,1208
00ABGN,Barking & Dagenham,Village,,"Coombs, Kenneth M.",CON,370
00ABGN,Barking & Dagenham,Village,,"Tindling, Frederick   ",LD,287
00ABGN,Barking & Dagenham,Village,,"Parsons, Leslie H.",UKIP,272
00ABGP,Barking & Dagenham,Whalebone,*,"Denyer, John R.",LAB,1304
00ABGP,Barking & Dagenham,Whalebone,*,"West, Margaret M.",LAB,1208
