Ward,Party,Forenames,Surname,Votes
Beddington North,Labour Party,Nawaz,Ahmad,570
Beddington North,Liberal Democrats,Pat,Ali,1299
Beddington North,Conservative Party,Leon Victor,Emirali,673
Beddington North,Labour Party,Sarah Anne,Gwynn,654
Beddington North,Green Party,Frederick Basil,Hartfield,235
Beddington North,Green Party,Joan Mary,Hartfield,257
Beddington North,Labour Party,Margaret Rose,Hughes,600
Beddington North,Liberal Democrats,Nick,Mattey,1290
Beddington North,Liberal Democrats,Nighat Noormohamed,Piracha,1048
Beddington North,UK Independence Party (UKIP),Leslie,Price,779
Beddington North,Conservative Party,Anusha,Vamadeva,705
Beddington North,Conservative Party,Hilary Vaughan,Wortley,776
Beddington South,Liberal Democrats,Manuel,Abellan,1079
Beddington South,Conservative Party,Neil Robert,Garratt,1120
Beddington South,Liberal Democrats,Ed,Joyce,1215
Beddington South,UK Independence Party (UKIP),Bill,Main-Ian,788
Beddington South,Liberal Democrats,Abdullah,Okuyucu,982
Beddington South,Labour Party,Patrick Giles,Sim,440
Beddington South,Conservative Party,Jim,Simms,1045
Beddington South,Labour Party,Alfred Manley,Thomas,430
Beddington South,Labour Party,Mary Eleanor,Towler,464
Beddington South,Conservative Party,Andy Derek,Williams,949
Belmont,Labour Party,Gale Anne Laura,Blears,432
Belmont,Labour Party,Stephen,Blears,406
Belmont,Conservative Party,David Albert,Hicks,1687
Belmont,Liberal Democrats,Cherry May,Mattey,809
Belmont,Liberal Democrats,Barbara Elizabeth,McIntosh,881
Belmont,Conservative Party,Patrick Ryan,McManus,1534
Belmont,Liberal Democrats,Russell Peter,Neale,738
Belmont,UK Independence Party (UKIP),Adrian John,Noble,653
Belmont,Conservative Party,Jane Elizabeth,Pascoe,1389
Belmont,Labour Party,Marian Helen,Wingrove,376
Carshalton Central,Labour Party,Michael Joseph,Cawley,393
Carshalton Central,Christian Peoples Alliance Party,Ashley,Dickenson,90
Carshalton Central,Conservative Party,Simon John,Higgs,1077
Carshalton Central,Green Party,Andrew,Lindsay,309
Carshalton Central,Trade Unionist and Socialist Coalition,Allan,Matusevics,74
Carshalton Central,UK Independence Party (UKIP),Michael,Norman,671
Carshalton Central,Labour Party,Rosalind Margaret,Onians,384
Carshalton Central,Liberal Democrats,Hamish Jack,Pollock,1634
Carshalton Central,Liberal Democrats,Alan James,Salter,1469
Carshalton Central,Conservative Party,Arthur George,Spirling,989
Carshalton Central,Conservative Party,Penny,Spirling,974
Carshalton Central,Green Party,Bob,Steel,324
Carshalton Central,Green Party,Mandi,Suheimat,205
Carshalton Central,Labour Party,Alan,Tate,351
Carshalton Central,Liberal Democrats,Jill Leonie,Whitehead,1460
Carshalton South and Clockhouse,Labour Party,Marilynne Bridget,Burbage,366
Carshalton South and Clockhouse,Conservative Party,Moira Jane,Butt,1365
Carshalton South and Clockhouse,Conservative Party,Tim,Crowley,1449
Carshalton South and Clockhouse,Labour Party,David George,Davis,331
Carshalton South and Clockhouse,Green Party,Brian Douglas,Dougherty,245
Carshalton South and Clockhouse,Liberal Democrats,Peter Michael,Fosdike,1268
Carshalton South and Clockhouse,Liberal Democrats,Amy Beth,Haldane,1276
Carshalton South and Clockhouse,Green Party,Ross,Hemingway,488
Carshalton South and Clockhouse,Labour Party,Claire,Shearer,259
Carshalton South and Clockhouse,Conservative Party,Tony,Smith,1155
Carshalton South and Clockhouse,Liberal Democrats,Alex,Vicente-Machado,1100
Carshalton South and Clockhouse,UK Independence Party (UKIP),Alexandra,Wraith,617
Cheam,Keep Our St Helier Hospital Party,David Leo Johnathon,Ash,396
Cheam,Labour Party,Alan David,Aylward,244
Cheam,Liberal Democrats,Mary,Burstow,1761
Cheam,UK Independence Party (UKIP),Steve,Carpenter,595
Cheam,UK Independence Party (UKIP),Gus,Dalgleish,569
Cheam,Labour Party,Lyndon,Edwards,207
Cheam,Labour Party,Laura Kate,Herridge,236
Cheam,Liberal Democrats,Abigail Mary Elizabeth,Lock,1273
Cheam,Conservative Party,Holly Alice,Ramsey,1688
Cheam,Conservative Party,Graham George,Witham,1495
Cheam,Liberal Democrats,Simon Conroy Lewis,Youlton,1156
Cheam,Conservative Party,Misdaq Syed Husain,Zaidi,1205
Nonsuch,Conservative Party,Eric John,Allen,1361
Nonsuch,Conservative Party,Rona Audrey,Forzani,1226
Nonsuch,Conservative Party,Alan Robert,Plant,1291
Nonsuch,Labour Party,Shawn Victor,Buck,311
Nonsuch,Labour Party,Laura Joanne,Mullaney,408
Nonsuch,Labour Party,Marcus Steven,Papadopoulos,330
Nonsuch,Liberal Democrats,Samantha Jean,Bourne,1744
Nonsuch,Liberal Democrats,Richard Franklin,Broadbent,1570
Nonsuch,Liberal Democrats,Daniel Thomas,Sangster,1431
Nonsuch,UK Independence Party (UKIP),Howard William,Cowley,901
St Helier,Liberal Democrats,Jean Edwina,Crossby,1195
St Helier,Conservative Party,Lottie,Crowley,380
St Helier,Liberal Democrats,Martin,Gonzalez,1070
St Helier,Conservative Party,Alison Margaret,Huneke,306
St Helier,Liberal Democrats,Doug,Hunt,1069
St Helier,Labour Party,John,Keys,685
St Helier,UK Independence Party (UKIP),Michael Graham,Lyon,843
St Helier,Conservative Party,Alan Henry,Oliver,320
St Helier,Labour Party,Nicola,Rosenbaum,734
St Helier,Labour Party,Andrew Charles,Theobald,637
Stonecot,Labour Party,Victoria Elizabeth,Barlow,482
Stonecot,Green Party,David John,Booth,311
Stonecot,Conservative Party,Malcolm,Brown,958
Stonecot,Labour Party,Tessa Louise,Cornell,395
Stonecot,UK Independence Party (UKIP),Lorraine,Crawley,886
Stonecot,Liberal Democrats,Adrian Charles David,Davey,1440
