Worcester Park,Jenny Louise Batt,Liberal Democrats,1759,1
Worcester Park,Tom Drummond,Conservative Party,1539,1
Worcester Park,John Kenneth Evers,Labour Party,711,0
Worcester Park,Drew Lee Heffernan,Liberal Democrats,1489,1
Worcester Park,Liz Martin,Labour Party,714,0
Worcester Park,Sam Martin,Liberal Democrats,1461,0
Worcester Park,Bob Miah,Conservative Party,1459,0
Worcester Park,Ann Morrison,Labour Party,552,0
Worcester Park,Paul Charles Newman,Conservative Party,1421,0
Nonsuch,Martina Bernadette Allen,Conservative Party,1681,1
Nonsuch,Kirsty Rebekah Archer,Labour Party,542,0
Nonsuch,Samantha Jean Bourne,Liberal Democrats,1405,0
Nonsuch,Richard Franklin Broadbent,Liberal Democrats,1287,0
Nonsuch,Howard William Cowley,UK Independence Party (UKIP),189,0
Nonsuch,Peter Hugh Geiringer,Conservative Party,1466,1
Nonsuch,Bill Goddard,UK Independence Party (UKIP),138,0
Nonsuch,Richard Derek Johnson,Independent,848,0
Nonsuch,Cliff Mason,Liberal Democrats,1243,0
Nonsuch,James Daniel McDermott-Hill,Conservative Party,1405,1
Nonsuch,Kerrie Sara Peek,Labour Party,370,0
Nonsuch,David Paul Taffurelli,UK Independence Party (UKIP),126,0
Nonsuch,Karon Edna Whitham,Labour Party,334,0
Stonecot,Jed Dwight,Conservative Party,1505,1
Stonecot,Nick Emmerson,Liberal Democrats,1087,0
Stonecot,Ray Eveleigh,Labour Party,699,0
Stonecot,Claire Elizabeth Jackson-Prior,Green Party,262,0
Stonecot,Miguel Luc Javelot,Liberal Democrats,969,0
Stonecot,Peter Okenla,Liberal Democrats,921,0
Stonecot,Param Nandha,Conservative Party,1414,1
Stonecot,Paul Dean Prior,Labour Party,663,0
Stonecot,Glen Paul Roberts,UK Independence Party (UKIP),147,0
Stonecot,Cumar Saha,Green Party,254,0
Stonecot,Nicholas Simon Smith,UK Independence Party (UKIP),106,0
Stonecot,Ryan Connor Stoneman,Conservative Party,1374,1
Stonecot,Simon Roger Stuart,UK Independence Party (UKIP),121,0
Stonecot,Gerald Douglas Tasker,Labour Party,558,0
Cheam,Eric John Allen,Conservative Party,2066,1
Cheam,Victoria Elizabeth Barlow,Labour Party,315,0
Cheam,Mary Burstow,Liberal Democrats,1711,0
Cheam,Anisha Callaghan,Liberal Democrats,1292,0
Cheam,Elliot Hadyn George Colburn,Conservative Party,1900,1
Cheam,Helen Martin,Labour Party,287,0
Cheam,Holly Alice Ramsey,Conservative Party,2202,1
Cheam,Jane Claire Rodger,Labour Party,288,0
Cheam,Monica Tyler,Liberal Democrats,1253,0
Sutton North,Julie Ann Beach,UK Independence Party (UKIP),140,0
Sutton North,Andrew David Beadle,UK Independence Party (UKIP),155,0
Sutton North,Emily Andrea Melanie Brothers,Labour Party,742,0
Sutton North,Ruth Carole Dombey,Liberal Democrats,1350,1
Sutton North,Ernest James Ford,UK Independence Party (UKIP),140,0
Sutton North,Marlene Sylvia Heron,Liberal Democrats,1263,1
Sutton North,Teresa Anne O'Brien,Labour Party,754,0
Sutton North,Steve Penneck,Liberal Democrats,1222,1
Sutton North,Victoria Jane Richer,Labour Party,681,0
Sutton North,Emma Pauline Scully,Conservative Party,1134,0
Sutton North,Vikki Shields,Conservative Party,1032,0
Sutton North,Terry Woods,Conservative Party,1021,0
Sutton West,Lily Psverukai Bande,Conservative Party,1326,1
Sutton West,Kevin Michael Burke,Liberal Democrats,1288,1
Sutton West,Andy Cook,Labour Party,806,0
Sutton West,Catherine Jane Gray,Conservative Party,1334,1
Sutton West,Peter Harry Hickson,Green Party,300,0
Sutton West,Wendy Grace Laurie Mathys,Liberal Democrats,1206,0
Sutton West,Laura Joanne Mullaney,Labour Party,713,0
Sutton West,Mukesh Rao,Conservative Party,1227,0
Sutton West,Simon David Wales,Liberal Democrats,1190,0
Sutton West,Christopher Malcolm Woolmer,Labour Party,672,0
Sutton Central,Steve Adams,Labour Party,1082,0
Sutton Central,David Dario Bartolucci,Liberal Democrats,1259,1
Sutton Central,Jess Beadle,UK Independence Party (UKIP),154,0
Sutton Central,Rich Clare,Liberal Democrats,1236,1,0
Sutton Central,Nigel Barry Cornwell,Conservative Party,789,0
Sutton Central,Bonnie Elizabeth Craven,Labour Party,961,0
Sutton Central,Peter Friel,Green Party,293,0
Sutton Central,Marie Josephine Grant,Conservative Party,756,0
Sutton Central,Ali Mirhashem,Liberal Democrats,1114,1
Sutton Central,Vic Paulino,Labour Party,905,0
Sutton Central,Alan Robert Plant,Conservative Party,727,0
Sutton Central,Charlie Wood,UK Independence Party (UKIP),112,0
Sutton South,Kathryn Theresa Anne Brennan,Labour Party,554,0
Sutton South,Richard Francis Clifton,Liberal Democrats,1347,1
Sutton South,Tessa Louise Cornell,Labour Party,566,0
Sutton South,Trish Fivey,Liberal Democrats,1303,1
Sutton South,Ed Parsley,Liberal Democrats,1187,0
Sutton South,Ron Phillips,Labour Party,475,0
Sutton South,Tony Alfred Shields,Conservative Party,1383,1
Sutton South,David Alexander Slaughter,Conservative Party,1285,0
Sutton South,Vanessa Marguerite Udall,Conservative Party,1295,0
Belmont,Gale Anne Laura Blears,Labour Party,595,0
Belmont,David Albert Hicks,Conservative Party,2001,1
Belmont,Dean Richard Juster,Liberal Democrats,956,0
Belmont,Patrick Ryan McManus,Conservative Party,1900,1
Belmont,Abdullah Okuyucu,Liberal Democrats,748,0
Belmont,Jane Pascoe,Conservative Party,1836,1
Belmont,Margaret Sinclair,Labour Party,524,0
Belmont,Alex Vicente-Machado,Liberal Democrats,786,0
Belmont,Marian Helen Wingrove,Labour Party,503,0
St Helier,Steven James Ayres,Conservative Party,583,0
St Helier,John Alan Brereton,UK Independence Party (UKIP),255,0
St Helier,Jean Edwina Crossby,Liberal Democrats,1063,1
St Helier,Simon Nicholson Densley,Conservative Party,513,0
St Helier,Nick Diamantis,Labour Party,876,0
St Helier,Richard Edmonds,National Front,49,0
St Helier,Martin Alonso Gonzales,Liberal Democrats,977,1
St Helier,Simon John Higgs,Conservative Party,497,0
St Helier,Maggie Hughes,Labour Party,800,0
St Helier,Annie Moral,Liberal Democrats,922,1
St Helier,Ian Ebrahim Rawat,UK Independence Party (UKIP),178,0
St Helier,Patrick Giles Sim,Labour Party,745,0
St Helier,Eleanor Margaret Smith,UK Independence Party (UKIP),180,0
Wandle Valley,Peter Robert Alfrey,Green Party,229,0
Wandle Valley,Benjamin Edwards Andrew,Liberal Democrats,1128,1
Wandle Valley,Vincent Galligan,Liberal Democrats,1057,1
Wandle Valley,David Grant,Labour Party,883,0
Wandle Valley,Barry John Greening,UK Independence Party (UKIP),245,0
Wandle Valley,Helen Ruth Heathfield,Green Party,206,0
Wandle Valley,David Paul Jeffreys,Conservative Party,475,0
Wandle Valley,Gina Mudge,Green Party,166,0
Wandle Valley,Mark Alan Nicholson,UK Independence Party (UKIP),180,0
Wandle Valley,Julia Melanie Russell,Conservative Party,451,0
Wandle Valley,Ross Paul Taylor,Conservative Party,461,0
Wandle Valley,Margaret Anne Thomas,Labour Party,826,0
Wandle Valley,Ahmad Nawaz Wattoo,Labour Party,723,0
Wandle Valley,Stewart Wood,UK Independence Party (UKIP),174,0
Wandle Valley,Hanna Aleksandra Zuchowska,Liberal Democrats,950,1
The Wrythe,John Thomas Bannon,UK Independence Party (UKIP),196,0
The Wrythe,Sheila Anne Berry,Labour Party,533,0
The Wrythe,Michael Christopher Boulton,Green Party,187,0
The Wrythe,Will Curley,Conservative Party,760,0
The Wrythe,Carlos Miguel Candon Placido De Sousa,Labour Party,498,0
The Wrythe,Bill Main-Ian,UK Independence Party (UKIP),177,0
The Wrythe,Gino Mario Marotta,UK Independence Party (UKIP),129,0
The Wrythe,Paul Gabriel McCarthy,Labour Party,476,0
The Wrythe,Penny Mouncey,Green Party,204,0
The Wrythe,Phil Mouncey,Green Party,121,0
The Wrythe,Nali Patel,Liberal Democrats,1224,1
The Wrythe,Millie Joanna Shields,Conservative Party,747,0
The Wrythe,Colin Henry Stears,Liberal Democrats,1324,1
The Wrythe,Sam Weatherlake,Liberal Democrats,1249,1
The Wrythe,Sebastian Leon Wopinski,Conservative Party,659,0
Carshalton Central,Karin Andrews,Green Party,334,0
Carshalton Central,Marilynne Bridget Burbage,Labour Party,459,0
Carshalton Central,Ashley Keith Dickenson,Christian Peoples Alliance Party,69,0
Carshalton Central,Matthew David Drew,Conservative Party,1302,0
Carshalton Central,Lynne Jane Fletcher,Conservative Party,1384,0
Carshalton Central,Gay McDonagh,Green Party,238,0
Carshalton Central,Margaret Onians,Labour Party,441,0
Carshalton Central,Jake Michael Short,Liberal Democrats,1576,1
Carshalton Central,Ethan James Smith,Conservative Party,1289,0
Carshalton Central,Bob Steel,Green Party,255,0
Carshalton Central,Tony Thorpe,Labour Party,430,0
Carshalton Central,Jill Leonie Whitehead,Liberal Democrats,1673,1
Carshalton Central,Chris Williams,Liberal Democrats,1646,1
Carshalton South and Clockhouse,Moira Jane Butt,Conservative Party,1767,1
Carshalton South and Clockhouse,John Ashton Clay,Labour Party,376,0
Carshalton South and Clockhouse,Tim Crowley,Conservative Party,1747,1
Carshalton South and Clockhouse,Amy Beth Haldane,Liberal Democrats,1809,1
Carshalton South and Clockhouse,Ross Hemingway,Green Party,295,0
Carshalton South and Clockhouse,Anas Ahmad Khan,Labour Party,343,0
Carshalton South and Clockhouse,Melissa Pearce,Conservative Party,1596,0
Carshalton South and Clockhouse,Jason Andrew Patrick Reynolds,Liberal Democrats,1524,0
Carshalton South and Clockhouse,Gordon Allan Roxburgh,Liberal Democrats,1544,0
Carshalton South and Clockhouse,Christine Savignani,Labour Party,340,0
Wallington North,Sunita Gordon,Liberal Democrats,1637,1
Wallington North,Malcolm Charles Horne,UK Independence Party (UKIP),119,0
Wallington North,Marian James,Liberal Democrats,1587,1
Wallington North,Charlotte Anne Leonard,Conservative Party,912,0
Wallington North,Michael John McLoughlin,Labour Party,594,0
Wallington North,Joyce Helen Melican,Liberal Democrats,1505,1
Wallington North,Angela Teresa North,UK Independence Party (UKIP),104,0
Wallington North,Lynn Andrea Robertson,Conservative Party,888,0
Wallington North,Verity Jane Thomson,Green Party,300,0
Wallington North,David Towler,Labour Party,516,0
Wallington North,Mary Eleanor Towler,Labour Party,526,0
Wallington North,Mark Edmund Webb,Green Party,222,0
Wallington North,Viven Jacqueline Worsfold,UK Independence Party (UKIP),72,0
Wallington North,Chris Wortley,Conservative Party,827,0
Wallington South,Daryl Sherrard Brisley,Conservative Party,1233,0
Wallington South,Steve Cook,Liberal Democrats,1793,1
Wallington South,Omoniyi Giwa,Conservative Party,978,0
Wallington South,Bobbie Lambert,Labour Party,413,0
Wallington South,Jayne Louise McCoy,Liberal Democrats,1704,1
Wallington South,David Norton Murray,Labour Party,506,0
Wallington South,Callum William Roper,Labour Party,373,0
Wallington South,Muhammad Izhar Sadiq,Liberal Democrats,1588,1
Wallington South,Maeve Margaret Tomlinson,Green Party,404,0
Wallington South,Hilary Vaughan Wortley,Conservative Party,1089,0
Beddington North,Pat Ali,Liberal Democrats,837,0
Beddington North,Malcolm Brown,Conservative Party,911,0
Beddington North,Tim Foster,Independent,1047,1
Beddington North,Jillian Ann Green,Independent,948,1
Beddington North,Sarah Anne Gwynn,Labour Party,829,0
Beddington North,Hannah Marie Hamilton,UK Independence Party (UKIP),106,0
Beddington North,Kingsley Julian Duncan Hamilton,UK Independence Party (UKIP),94,0
Beddington North,Brendan Hudson,Liberal Democrats,713,0
Beddington North,Alison Margaret Huneke,Conservative Party,815,0
Beddington North,John Keys,Labour Party,725,0
Beddington North,Shasha Khan,Green Party,208,0
Beddington North,Charlie Mansell,Labour Party,663,0
Beddington North,Nick Mattey,Independent,1285,1
Beddington North,Nighat Piracha,Liberal Democrats,660,0
Beddington North,Andy Williams,Conservative Party,784,0
Beddington South,Manuel Abellan,Liberal Democrats,1445,1
Beddington South,Christine Irene Florence Cullen,Labour Party,492,0
Beddington South,Neil Robert Garratt,Conservative Party,1334,0
Beddington South,Edward Timothy Joyce,Liberal Democrats,1450,1
Beddington South,Ann Maria Page,Conservative Party,1239,0
Beddington South,Mo Saqib,Liberal Democrats,1403,1
Beddington South,Arnaldo Edoardo Severino Savignani,Labour Party,421,0
Beddington South,Jim Simms,Conservative Party,1226,0
Beddington South,Peter Terence Smith,UK Independence Party (UKIP),134,0
Beddington South,Terence James Smith,UK Independence Party (UKIP),105,0
Beddington South,Alan Tate,Labour Party,380,0
Beddington South,David Michael Usher,UK Independence Party (UKIP),107,0
