ID,District,Polling Station,Eastings,Northings,Area,Perimeter
1,OA,Elm Grove,528552.83700,165184.62000,524488.71900,3606.61800
10,KA,The Quad Youth Centre,527172.65500,167174.86400,492587.08400,3660.47500
12,KC,Wandle Valley School,527604.52900,166535.30200,350714.78300,2861.37500
14,KD,All Saints Church Centre,528290.86500,166481.70400,962861.82600,5156.37900
15,AA,Green Lane Primary School,522762.64700,166489.78100,713857.47500,4256.23500
16,AC,Dorchester Primary School,523537.24500,166056.91600,528206.03400,3643.66400
17,AB,Christ Church with St Phillips,523171.33200,165615.09700,716350.31700,4122.62000
18,PC,St Michaels Church Centre,529470.02900,163866.46000,277147.29900,2653.20700
19,PB,Wallington Public Hall,529124.71900,163636.26300,261522.79000,2526.38500
2,OC,Holy Trinity C of E School,529167.18800,164747.55200,512608.02500,4293.62700
20,PA,United Reformed Church Hall,528629.84000,163518.60100,496851.58000,3503.48600
21,PD,St Patricks Church Hall,528835.18300,162895.40100,675643.94700,5623.76200
22,LA,Pavillion I,526858.53200,165337.89900,325717.06200,3141.63600
24,LB,Muschamp Junior School,527560.59400,165780.72200,564211.13200,4402.58300
25,LC,Victor Seymour Infants School,527902.24900,165383.04400,589893.87800,3475.71900
26,DA,Cheam Methodist Church,524122.80300,164377.39600,635848.43900,4582.50300
27,DB,St Dunstans C of E Primary School,524211.76400,163389.47700,816123.20000,4413.74000
28,DC,St Andrews Church Hall,524434.06200,161702.16600,2478810.24400,7828.95600
29,QA,Mobile Library,529356.63400,166820.79800,1503185.85800,5417.49100
3,OB,Holy Trinity Church Hall,528741.50100,164343.59200,568576.62300,3707.02700
30,QB,Beddington Park Primary School,529859.88900,165744.79500,1940003.42900,7529.52900
31,QC,Beddington Infants School,529478.52300,165126.73200,900941.25100,5782.98500
32,QD,High View Primary School,530323.38100,164461.58400,650478.47200,4479.26000
33,RB,Phoenix Centre,530510.98000,163184.42500,1076867.24700,5734.12800
34,RD,St Marks Church Hall,530238.45600,162513.15500,657289.00600,6449.98000
35,RA,Bandon Hill Primary School,530094.37800,163756.16500,768075.83200,6718.79300
36,RC,Wallington High School for Girls,529447.40300,162640.89000,561151.59000,5062.50100
37,IA,Overton Road Pavilion I,525239.09600,163125.46200,116217.78100,2531.88900
38,IB,St Johns Church Hall,525265.83800,162592.82500,798203.77300,5636.86300
39,IC,Shanklin Childrens Centre,525790.53500,162674.48200,111891.41900,1920.75300
4,FA,St Albans Church Hall,524786.01000,164569.48800,669446.16400,3651.19900
40,ID,Chiltern Church I,526296.15600,162451.60600,1301890.06200,5856.06200
41,MA,The Scout Hall I,527107.57800,164693.49000,667635.44700,4091.52700
42,MB,Highfield Hall I,527357.99200,164133.13300,577627.72900,4940.02800
44,MC,All Saints Primary School,528001.95900,164357.23900,781925.90000,5333.58500
45,NB,Stanley Park Junior School,527949.70000,163046.09200,1116262.60600,5954.05700
46,NA,Barrow Hedges Primary School II,527214.17400,162669.24000,1159911.28700,6907.49700
47,NC,The Café,528086.87500,161533.33100,3522660.42200,9180.01600
48,ND,Hillcrest Hall,528741.59500,160334.34500,1262120.09100,5439.92200
49,BA,Cheam Common Infants School,522764.52900,165350.52600,525555.91600,4503.07400
5,FB,Homefield Preparatory School,525152.33600,163945.66600,840535.75700,4790.39200
50,BB,Cuddington Recreation Pavillion,522610.64700,164888.84700,546788.34400,3545.92600
51,BC,Cheam Leisure Centre,523680.64200,164807.24400,837334.06500,4945.20100
52,CC,Glenthorne High School,525063.08900,166414.64400,583770.36600,4279.93800
52,CC,Sutton Life Centre,525063.08900,166414.64400,583770.36600,4279.93800
53,CB,North Cheam Baptist Church,524625.53800,166212.62600,437949.60900,4276.74900
54,CA,Cheam Park Farm Infants,524452.22200,165523.53300,962378.13400,4406.53000
54,CA,St Oswald's Church Hall,524452.22200,165523.53300,962378.13400,4406.53000
55,GA,Robin Hood Junior School,525607.47300,164446.45500,393366.65800,3985.48900
56,GB,The Thomas Wall Centre,526043.53900,164652.02300,368776.26900,2757.36500
57,GC,St Barnabas Church Hall I,526422.65900,164351.21700,546759.43000,4555.23400
58,EC,Westbourne Primary School,525193.25600,165129.44600,166904.45500,1736.67400
59,EA,Holy Family Hall,525565.61500,165632.88800,786437.49600,4306.61100
6,FC,Overton Road Pavillion II,525335.06600,163528.75700,274145.61300,4402.99300
60,EB,All Saints Benhilton C of E Primary School,526207.35200,165545.47700,929801.51700,4575.00100
61,JA,Abbey Primary School,525718.07200,166601.78100,339200.33200,2446.91200
62,JB,Hill House,526319.91400,166670.56000,224924.53800,2243.55600
65,JD,Bishop Andrewes Church Hall,526998.89200,166018.53000,518978.49200,3159.30900
65,JD,Carshalton Sports College,526998.89200,166018.53000,518978.49200,3159.30900
8,HB,Christchurch Community Hall,526334.98900,163499.47600,691931.78600,4351.97500
8,HB,Devonshire Primary School,526334.98900,163499.47600,691931.78600,4351.97500
11,KB,The Circle Library,527206.26200,166817.45800,247534.45200,2296.36700
63,JC,David Weir Leisure Centre,526681.55400,166438.63300,401805.07700,3343.16800
9,HA,Sports Pavillion I,525648.22400,163294.56100,280236.16000,2752.36400
7,HC,Barrow Hedges,526933.93100,163489.96700,300191.85700,2835.25900
